sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1
club-moss_0.001_1x_1	0.0	0.0	0.0	0.0	0.002191548988861356	0.0018195627382895688	0.0011408747876320074	0.0010173833729349257	0.0038476638584857953	0.003248086946146619	0.002622810085505239	0.0024316726991872087	0.005658002457361231	0.004779054427245569	0.004181695011435126	0.003972232497891721	0.007130459469980093	0.006377367405069299	0.005795623104750394	0.005437796694232017	0.009065962548654095	0.008393807396603533	0.007457203900217639	0.007343816866716555	0.017505070107202408	0.016692970853942456	0.015824378016549224	0.015584166903562121	0.0005520084465926033	0.0	0.0	0.0
club-moss_0.001_2x_1	0.0	0.0	0.0	0.0	0.0017616503340115402	0.001381188596352644	0.0005421699100883652	0.0006316323403734305	0.0033123239221104746	0.002906848330244096	0.002079778699810939	0.002050213829030159	0.005229858378686315	0.004449684050785322	0.0037349288267907446	0.003594923729203463	0.006984534608276068	0.006117624467142218	0.005344541608104137	0.005225288131755351	0.008837291038859826	0.008009879287311809	0.007085090698378595	0.0069591298745675795	0.017337998682648723	0.016053529376375605	0.015499997369597267	0.015168090235303335	0.0	0.0	0.0	0.0
club-moss_0.001_4x_1	0.0	0.0	0.0	0.0	0.0011687683554231878	0.000520375350995693	0.0	0.000511001795403218	0.002573568686633548	0.002049996118617379	0.0013387692055091861	0.0019116983923144096	0.004539594122336915	0.0036896611087173783	0.003131109961098347	0.0034884479103661514	0.0062647344390890786	0.005541397136018465	0.004818448402034964	0.005166813238625998	0.00812210891777286	0.007400469921148488	0.006612615447791237	0.006995013041193604	0.01673793037812809	0.015688214229988718	0.015227474984115578	0.01560112477328121	0.0	0.0	0.0	0.0
club-moss_0.001_8x_1	0.0	0.0	0.0	0.0	0.001057442746365021	0.0006941531221745531	0.0	0.0019821400287616565	0.0026078681018510694	0.002170294233714958	0.001854299328905482	0.0034400823911741275	0.004603302625146845	0.00386732351695509	0.003592891207538495	0.004978423450534627	0.006302904850772055	0.005762425992039769	0.005218410257920247	0.006794574067943792	0.008317706857833493	0.007643219676990359	0.007140198283223704	0.00864527815664572	0.017075963414453242	0.016017762398988028	0.01606389460772327	0.017490849246037957	0.0	0.0	0.0	0.0
club-moss_0.002_1x_1	0.002191716620415804	0.00183299903314968	0.001210438235611155	0.0010571871628952073	0.0	0.0	0.0	0.0	0.004574958192499936	0.004158497281606536	0.003430264301115715	0.0031855731783908977	0.006339681925706841	0.005699213840478664	0.005046660390876566	0.0047497316989047154	0.007888116430796678	0.0071240919931309255	0.006412483304639807	0.006108203408558298	0.009567353787084232	0.00905795672573057	0.008148655937751857	0.007889841601770312	0.017854268627081463	0.017137010397582128	0.01652725286394775	0.016093354188912553	0.0013905051363710427	0.0011332220470589751	0.0	0.0
club-moss_0.002_2x_1	0.001750221745542317	0.0013822594611546705	0.0005187042471658604	0.0006687479233715807	0.0	0.0	0.0	0.0	0.003964088777153723	0.0035527180444903366	0.0028549581398648253	0.0028143331149973186	0.005809034451829524	0.005138743163015994	0.004483709152632115	0.0044164651056033035	0.007513066608841689	0.0068189654830698426	0.006100738001666074	0.006088746373122303	0.00929102228898888	0.008575903103064619	0.0077312916609561634	0.007700795609047222	0.0176593094530819	0.016822611582617258	0.016264075235955956	0.016047981625046108	0.000926494266199692	0.0005775895095860283	0.0	0.0
club-moss_0.002_4x_1	0.0010935191962112801	0.00054033399712223	0.0	0.0	0.0	0.0	0.0	0.0	0.003244078557023725	0.0027286004772327926	0.0019878247184104145	0.002353687588515382	0.005249714735544028	0.004412651654907555	0.003811803231698425	0.003889168674786873	0.006907977296402032	0.0061252197795839125	0.0054444458443149235	0.005623011970710475	0.008806892564137652	0.008058611088248215	0.007203935343284039	0.007384590422128455	0.01712305946619481	0.016281836238690343	0.0157442820537275	0.01602224233866987	0.0	0.0	0.0	0.0
club-moss_0.002_8x_1	0.0010171319044113393	0.0006558423825826166	0.0005265666944747765	0.001981286912271662	0.0	0.0	0.0	0.0	0.003265805467751438	0.002942539800034983	0.0026009171045467813	0.004185841688724101	0.005389270712514502	0.004712940451414919	0.004342153496255169	0.005745606490698747	0.00700040413073697	0.006568949284948994	0.0060531614830809585	0.007512550436003441	0.008935754829748309	0.008372781737635773	0.007870816969381774	0.009354554853632532	0.017597810402993755	0.01671833334472208	0.01666425120163703	0.018099890995396918	0.0	0.0	0.0	0.00043683218799895615
club-moss_0.004_1x_1	0.003853679597978755	0.003450334649980669	0.002669024729694884	0.0026124204813690608	0.004581709889215818	0.004125463886371457	0.003388783672269635	0.003273802223577542	0.0	0.0	0.0	0.0	0.007663142928902921	0.007155487794415827	0.00650234978840936	0.006251985377820904	0.009535754982696274	0.008743984262065069	0.007940509719664025	0.007701163341665072	0.011138555563959426	0.01049438274343913	0.009712027311520134	0.009440631509485065	0.019120915798813146	0.018174800895501646	0.01774584744665596	0.017317360995696196	0.0031279213521524414	0.0028428727921071375	0.0018689482200985603	0.0018588789068411753
club-moss_0.004_2x_1	0.00312957516006349	0.002913127449654437	0.0020467244435502935	0.0020954597563307867	0.004007199720576721	0.0035576462241403207	0.0027441998877496994	0.0028434629709940076	0.0	0.0	0.0	0.0	0.007238482645122687	0.0065318573269974815	0.005884512605474281	0.0057106512041655184	0.008926782178865852	0.008105084955487573	0.0073942248241224496	0.007278051898723062	0.010431452357278595	0.009907636526249621	0.009009470703772025	0.008783306567664385	0.018671153377136606	0.017983233551861544	0.017383358622246974	0.017099281350846488	0.002408605307672965	0.0021349590774538798	0.0012038448060794902	0.0012072734839033003
