sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
moss_0.006_2x_1.hist	histogram	genome-skim	1.92	108003984	0.55	5.35	0.0045	150
moss_0.02_1x_1.hist	histogram	genome-skim	1.01	103044749	0.75	3.32	0.0042	150
moss_0.01_4x_1.hist	histogram	genome-skim	4.07	101944821	0.65	4.81	0.0043	150
moss_0.02_4x_1.hist	histogram	genome-skim	4.05	102401477	0.74	3.47	0.0039	150
moss_0.01_2x_1.hist	histogram	genome-skim	1.98	104941033	0.62	5.02	0.0043	150
moss_0.001_8x_1.hist	histogram	genome-skim	8.42	98472618	0.56	6.34	0.0051	150
moss_0.006_8x_1.hist	histogram	genome-skim	8.34	99420206	0.62	5.59	0.0046	150
moss_0.002_8x_1.hist	histogram	genome-skim	8.39	98837578	0.57	6.30	0.0050	150
moss_0.02_2x_1.hist	histogram	genome-skim	2.01	103205903	0.73	3.54	0.0039	150
moss_0.0_4x_1.hist	histogram	genome-skim	4.08	101636565	0.51	6.73	0.0052	150
moss_0.004_8x_1.hist	histogram	genome-skim	8.36	99262231	0.59	5.88	0.0048	150
moss_0.002_1x_1.hist	histogram	genome-skim	0.95	109153315	0.51	6.14	0.0053	150
moss_0.002_4x_1.hist	histogram	genome-skim	4.08	101669516	0.54	6.23	0.0050	150
moss_0.008_8x_1.hist	histogram	genome-skim	8.31	99802962	0.64	5.06	0.0045	150
moss_0.001_1x_1.hist	histogram	genome-skim	1.02	101691582	0.56	6.73	0.0054	150
moss_0.002_2x_1.hist	histogram	genome-skim	1.88	110466569	0.48	6.36	0.0048	150
moss_0.0_1x_1.hist	histogram	genome-skim	1.01	102964210	0.51	6.97	0.0055	150
moss_0.001_2x_1.hist	histogram	genome-skim	1.83	113088782	0.45	6.58	0.0049	150
moss_0.01_8x_1.hist	histogram	genome-skim	8.29	100086029	0.66	4.81	0.0044	150
moss_0.001_4x_1.hist	histogram	genome-skim	4.07	101837564	0.53	6.43	0.0051	150
moss_0.02_8x_1.hist	histogram	genome-skim	8.18	101425538	0.75	3.35	0.0039	150
moss_0.004_2x_1.hist	histogram	genome-skim	1.90	109176163	0.52	5.81	0.0047	150
moss_0.008_2x_1.hist	histogram	genome-skim	1.95	106228603	0.58	5.01	0.0045	150
moss_0.01_1x_1.hist	histogram	genome-skim	0.96	107842756	0.61	4.92	0.0048	150
moss_0.006_4x_1.hist	histogram	genome-skim	4.09	101487829	0.60	5.37	0.0046	150
moss_0.004_1x_1.hist	histogram	genome-skim	0.96	107972947	0.55	5.95	0.0052	150
moss_0.0_8x_1.hist	histogram	genome-skim	8.43	98389352	0.54	6.62	0.0052	150
moss_0.008_1x_1.hist	histogram	genome-skim	0.99	104814233	0.64	5.20	0.0049	150
moss_0.0_2x_1.hist	histogram	genome-skim	1.86	111535989	0.45	6.44	0.0050	150
moss_0.008_4x_1.hist	histogram	genome-skim	4.06	102201811	0.62	5.19	0.0045	150
moss_0.004_4x_1.hist	histogram	genome-skim	4.08	101719438	0.57	5.83	0.0048	150
moss_0.006_1x_1.hist	histogram	genome-skim	0.91	114493871	0.54	5.49	0.0049	150
